Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	1019	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	918	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	928	0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1000	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	979	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	980	0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	999	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	954	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	941	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	983	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1020	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	960	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	938	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	972	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	939	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	978	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	908	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	969	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1021	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	926	-0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	940	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	917	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	919	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	874	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	889	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	890	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	1022	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1056	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	887	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1004	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	934	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1006	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1062	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	976	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1044	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1014	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	925	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	907	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1149	0.000	-0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1151	0.000	-0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1112	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	935	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	950	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1103	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	994	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	963	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	957	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	975	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1139	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1016	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1140	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	933	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1015	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	886	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	993	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1187	0.000	-0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	885	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1107	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1074	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1080	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1048	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1040	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1010	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	964	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	942	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	920	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1090	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	970	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	906	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1011	-0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1161	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	922	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	990	0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1106	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	971	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	948	0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1032	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1119	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1145	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1007	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
